Lucidus Percute,13,0,208,103
BackStabbers,13,1,223,102
Alone,13,1,217,85
Rapey Spaceys,12,1,206,81
Menace II Society,12,1,205,78
Hentai Hooligans,12,1,204,59
PHOENIX,12,1,202,85
Davage Gaming,12,1,200,68
Proximity,12,1,198,75
NVM Scandal and Libel,12,1,195,118
Team-X,12,2,222,112
AgemaGG,12,2,199,104
Heinz Ranch,11,1,189,111
SPURT Esports,11,1,184,116
Old Guys Club,11,1,182,90
Respect Your Elders,11,1,180,94
Hentai Heroes,11,2,205,82
The Silent Effect,11,2,204,107
ERIK ALMEAL,11,2,199,102
goose gang,11,2,199,109
Buff Chic Peet,11,2,197,108
RushB Esports,11,2,197,114
guys lets get serious,11,2,196,126
Say No More,11,2,194,96
We Arent Tryin,11,2,194,96
End Point,11,2,193,95
Canada Post,11,2,188,92
f it dude lets go bowlin,11,2,185,115
adidas cement mixer,11,3,213,120
Satoshi Dragons,11,3,212,128
h00liGaNz,11,3,211,136
Nuclear Esports,11,3,207,141
Yung Savages,11,3,207,149
UConn Gaming,11,3,205,172
sux,11,3,201,95
IdentityDisorder,10,2,188,104
The Mad Gentlemen,10,2,187,75
Finch eSports,10,2,187,108
OOF esports,10,2,185,89
Speechless,10,2,184,79
Animal Style,10,2,182,91
Cobra Kai Dojo,10,2,182,98
thats what she said,10,2,181,101
Prox-imity,10,2,179,82
MGA ALAMAT,10,2,179,120
Team LTD,10,2,178,100
Akatsuki Gaming,10,2,178,108
sEND it,10,2,177,99
IlluZion CS,10,2,177,111
EGO Warriors,10,2,176,62
Super Dildo Friends,10,2,175,98
Big Doinks,10,2,173,99
Ominus Official,10,2,173,110
Skillz Come Naturally,10,2,172,61
Realeza,10,2,171,94
Orochi Esports,10,2,170,87
Born eSports,10,3,202,114
iTHROWDISHES,10,3,201,91
EDGE,10,3,199,162
just a team,10,3,198,112
Collusion,10,3,198,135
30 Degree Window,10,3,196,116
Final Destination,10,3,196,119
NYXL,10,3,196,131
Vibe,10,3,194,91
SBT CSGO,10,3,193,109
Loyalty ESPORT,10,3,193,118
Lightning Fast,10,3,191,110
CS Nightmares,10,3,190,126
Poch1Nki Boyz,10,3,190,135
Interped Much,10,3,189,126
Not Really Trying,10,3,188,118
Magic School Bus,10,3,188,120
team GSO,10,3,187,110
grunutz academy,10,3,187,116
Infix,10,3,187,126
Basement All-Stars,10,3,186,126
Evil Mindz,10,3,186,126
Hatchets Pizzeria,10,3,184,80
We Are Trash,10,3,184,118
HEADRUSHH,10,3,182,122
x_gang_x,10,3,182,130
The Anime Club,10,3,181,123
Mans Hot Pot,10,3,181,132
Crusty Crusaders,10,3,180,110
Pyrex,10,3,179,84
Bloom,10,3,177,134
Team Sabre-,10,3,166,99
Boosted Bonobo Crew,10,4,215,142
The Gaming Monkeys,10,4,213,118
06 Final Boss,10,4,210,108
Glue,10,4,206,123
SpaceShift,10,4,204,134
Gros chien,10,4,202,146
Who Nutted,10,4,202,152
Upsetti Spaghetti,10,4,199,136
Team Cyber-Internet,10,4,198,117
WeCheat,10,4,194,131
Cleveland Browns,10,4,193,110
University of Akron,10,4,191,117
East Coast Toxic,10,4,183,112
Snail Trail,9,3,182,116
Liberty Blue,9,3,182,118
TokyoBoys -,9,3,178,116
Ghost Academy,9,3,177,113
Team Verum,9,3,173,104
READY2DIE,9,3,171,108
Void Squad,9,3,171,108
Glue Boy Manufacturing,9,3,171,112
Serpent,9,3,170,84
Quintic,9,3,170,104
NonStop,9,3,167,119
WFAN,9,3,164,100
Ape Nation,9,3,163,100
New York Nibbas b like,9,3,163,114
4nime DEAD,9,3,156,98
THOT Exterminators,9,4,201,130
Amp Gaming,9,4,196,165
Malicious Intent,9,4,194,108
Prayer Circle,9,4,192,123
BlueFacesAllAround,9,4,192,144
WideSwing,9,4,189,113
EwokSports Gaming,9,4,188,145
ArganaGG,9,4,185,116
Wayback Boys,9,4,185,126
Never Xpected,9,4,185,126
jchillin,9,4,185,154
OutKast,9,4,184,118
Brainers,9,4,184,120
Climax Pro,9,4,184,126
PrimeTime Gaming,9,4,184,136
Pistol Shrimps,9,4,183,130
4TH QUARTILE GODS,9,4,182,102
Zaga Talent,9,4,182,118
Ascended,9,4,182,124
KangaREEs,9,4,182,135
HappyFamily,9,4,182,145
AlwaysBeClosing,9,4,181,138
Stratos Esports,9,4,180,127
Extra,9,4,180,144
superkai64,9,4,179,141
4 BOTS,9,4,177,131
Razed,9,4,176,130
reLevant,9,4,176,136
PrecisionGaming,9,4,175,117
Underwatch scrim,9,4,175,127
Emerald Isle,9,4,175,147
Zero Gravity,9,4,173,116
Just The Basics,9,4,173,134
0BSCURITY,9,4,172,107
Entity paradigm,9,4,172,118
Third Dimension Online,9,4,172,122
Exposed CSGO,9,4,171,120
nou Esports,9,4,171,135
Hammies Bowl Cut Crew,9,4,171,143
Senpai Notice Us v2,9,4,166,134
outer space skeletons,9,4,166,150
Corona eSports,9,5,206,134
Gradient,9,5,202,145
Nittany Lions,9,5,200,140
Illicit Minds,9,5,199,140
JSX,9,5,194,135
Woke,9,5,191,143
Covenant,9,5,191,149
Pending,9,5,191,154
Cynical eSports,9,5,190,107
Gyro Choir,9,5,190,129
Project-Badass,9,5,190,140
EXG,9,5,189,102
Diplomax CSGO,9,5,189,136
McFraggers,9,5,185,137
Susan and Term,9,5,182,164
War of Five,9,5,181,135
AbsoluteZero,9,5,180,151
Model Five,9,5,173,120
American Red Gangstaz,9,5,172,152
Ferocity_eSport,9,5,170,152
OrphanKripplers,8,3,162,102
Primal Gaming,8,3,154,77
Dosias Sex Squad,8,4,178,120
Dirty pizza boyz,8,4,175,118
ArdentCS,8,4,175,121
TALK SHIT GET HIT,8,4,173,115
Vyb,8,4,171,99
Instinct e-Sports,8,4,170,134
HiTREG Gaming,8,4,165,136
9 Lives,8,4,165,151
G-Unit,8,4,164,113
Vicious Kitties,8,4,164,130
Mission San Jose High,8,4,163,138
PureAimNoBrain,8,4,162,106
Kulas East Squad,8,4,162,107
toxic scout buyers,8,4,161,140
TacticalTurtles,8,4,160,115
Forever KnighT,8,4,160,118
Revenant Esports,8,4,160,138
Lucky Draw,8,4,156,119
Jacket_Esports,8,4,154,112
Certified Bangers Only,8,4,153,122
Gargantua,8,4,146,138
Kahoot Squad,8,5,192,129
Team Imperium,8,5,187,144
OceanBorn,8,5,186,140
